method,estimate,flow,cq,runid
rating,10.955621325048195,unaltered,broken_dilution,98
composite,10.794041945172653,unaltered,broken_dilution,98
truth,11.795323851779607,unaltered,broken_dilution,98
pw,4.574801152242016,base,enrich,98
beale,5.089688895233307,base,enrich,98
rating,8.07735956024065,base,enrich,98
composite,8.159409013858289,base,enrich,98
truth,7.977163719729692,base,enrich,98
pw,3.686016138502753,storm,enrich,98
beale,7.823503344194294,storm,enrich,98
rating,46.15178717126351,storm,enrich,98
composite,48.84530629771013,storm,enrich,98
truth,57.42054175899651,storm,enrich,98
pw,4.527923861747198,unaltered,enrich,98
beale,5.340641080207407,unaltered,enrich,98
rating,10.252956614050305,unaltered,enrich,98
composite,10.49348982697444,unaltered,enrich,98
truth,10.623460361955845,unaltered,enrich,98
pw,13.413185866408597,base,none,98
beale,13.419829448514177,base,none,98
rating,13.313627798035581,base,none,98
composite,13.716199963079688,base,none,98
truth,13.313767775653693,base,none,98
pw,13.27545812169465,storm,none,98
beale,13.516621133987556,storm,none,98
rating,13.72984956174993,storm,none,98
composite,13.95448237888728,storm,none,98
truth,13.111597579238438,storm,none,98
pw,13.400394916166096,unaltered,none,98
beale,13.426581721733358,unaltered,none,98
rating,13.371178931443971,unaltered,none,98
composite,13.761400055803545,unaltered,none,98
truth,13.23473618200082,unaltered,none,98
pw,13.264094342675087,base,chemostatic,98
beale,13.248119037855577,base,chemostatic,98
rating,13.23656701599303,base,chemostatic,98
composite,13.255240381563105,base,chemostatic,98
truth,13.313767775653693,base,chemostatic,98
pw,13.183571590772742,storm,chemostatic,98
beale,13.067356822083733,storm,chemostatic,98
rating,13.140338447269938,storm,chemostatic,98
composite,13.11592461221481,storm,chemostatic,98
truth,13.268394664520647,storm,chemostatic,98
pw,13.242426911647069,unaltered,chemostatic,98
beale,13.221677878821795,unaltered,chemostatic,98
rating,13.211623844032017,unaltered,chemostatic,98
composite,13.226152789821827,unaltered,chemostatic,98
truth,13.30645123622164,unaltered,chemostatic,98
pw,12.61772470724654,base,broken_dilution,97
beale,12.007237269054436,base,broken_dilution,97
rating,10.52123864843485,base,broken_dilution,97
composite,10.519932953850757,base,broken_dilution,97
truth,10.66430590526222,base,broken_dilution,97
pw,31.444941187263055,storm,broken_dilution,97
beale,21.203380724506307,storm,broken_dilution,97
rating,11.038146362218571,storm,broken_dilution,97
composite,10.352567555792954,storm,broken_dilution,97
truth,15.300196789408465,storm,broken_dilution,97
pw,13.589425635471153,unaltered,broken_dilution,97
beale,12.58187229344651,unaltered,broken_dilution,97
rating,10.465073728529674,unaltered,broken_dilution,97
composite,10.462891907241476,unaltered,broken_dilution,97
truth,11.507690670428728,unaltered,broken_dilution,97
pw,4.414298080779783,base,enrich,97
beale,4.9117215537168235,base,enrich,97
rating,7.460362585874492,base,enrich,97
composite,7.609664456135474,base,enrich,97
truth,7.973544878132634,base,enrich,97
pw,3.6187117137332008,storm,enrich,97
beale,7.801146020360953,storm,enrich,97
rating,43.46509836130521,storm,enrich,97
composite,46.22436768519509,storm,enrich,97
truth,57.05823074114978,storm,enrich,97
pw,4.4616976424133865,unaltered,enrich,97
beale,5.284343667950689,unaltered,enrich,97
rating,9.953747559013335,unaltered,enrich,97
composite,10.225480806800187,unaltered,enrich,97
truth,10.607365959477864,unaltered,enrich,97
pw,12.13945606920258,base,none,97
beale,12.720411746493449,base,none,97
rating,12.316666623794776,base,none,97
composite,12.617174852390495,base,none,97
truth,13.314685806783201,base,none,97
pw,11.836321405539845,storm,none,97
beale,14.257845303043508,storm,none,97
rating,13.646188338265423,storm,none,97
composite,13.135963380140865,storm,none,97
truth,13.177369541719521,storm,none,97
pw,12.114284227523891,unaltered,none,97
beale,12.905335403312817,unaltered,none,97
rating,12.525743962328855,unaltered,none,97
composite,12.711404553717488,unaltered,none,97
truth,13.251622542846421,unaltered,none,97
pw,13.330563240199972,base,chemostatic,97
beale,13.325381020735433,base,chemostatic,97
rating,13.300494620140567,base,chemostatic,97
composite,13.353244831174973,base,chemostatic,97
truth,13.314685806783201,base,chemostatic,97
pw,13.291029103830327,storm,chemostatic,97
beale,13.352036337589668,storm,chemostatic,97
rating,13.167567349092792,storm,chemostatic,97
composite,13.213991207595221,storm,chemostatic,97
truth,13.290235547782151,storm,chemostatic,97
pw,13.317286127904728,unaltered,chemostatic,97
beale,13.320488477896804,unaltered,chemostatic,97
rating,13.277195187396922,unaltered,chemostatic,97
composite,13.332109130486723,unaltered,chemostatic,97
truth,13.309762154986144,unaltered,chemostatic,97
pw,12.145157007128413,base,broken_dilution,96
beale,11.655761446152097,base,broken_dilution,96
rating,10.187110950746504,base,broken_dilution,96
composite,10.123361340070428,base,broken_dilution,96
truth,10.676026224586339,base,broken_dilution,96
pw,30.210887306127603,storm,broken_dilution,96
beale,21.22345303131451,storm,broken_dilution,96
rating,10.866904014491968,storm,broken_dilution,96
composite,9.409909684004656,storm,broken_dilution,96
truth,15.433033453298666,storm,broken_dilution,96
pw,13.315098128452805,unaltered,broken_dilution,96
beale,12.481185605240542,unaltered,broken_dilution,96
rating,10.335398987511358,unaltered,broken_dilution,96
composite,10.227870590531769,unaltered,broken_dilution,96
truth,11.768138221357429,unaltered,broken_dilution,96
pw,4.541221130832401,base,enrich,96
beale,5.117139083352299,base,enrich,96
rating,7.757705114806417,base,enrich,96
composite,7.992601629367672,base,enrich,96
truth,7.993969277117443,base,enrich,96
pw,3.789369308761728,storm,enrich,96
beale,8.548935467339296,storm,enrich,96
rating,46.735200553749834,storm,enrich,96
composite,50.395173440266305,storm,enrich,96
truth,57.346838888184436,storm,enrich,96
pw,4.53362303354545,unaltered,enrich,96
beale,5.490378912559211,unaltered,enrich,96
rating,10.322772471644258,unaltered,enrich,96
composite,10.743402061250814,unaltered,enrich,96
truth,10.643403109822229,unaltered,enrich,96
pw,13.851943279723743,base,none,96
beale,13.799301121705733,base,none,96
rating,13.367376402761597,base,none,96
composite,13.585147952097696,base,none,96
truth,13.300140670060786,base,none,96
pw,13.810347665484404,storm,none,96
beale,13.625210719054309,storm,none,96
rating,12.890509676349117,storm,none,96
composite,13.155061378717022,storm,none,96
truth,13.224471373529656,storm,none,96
pw,13.82624297852643,unaltered,none,96
beale,13.769614622367863,unaltered,none,96
rating,13.3092570636586,unaltered,none,96
composite,13.515360660522338,unaltered,none,96
truth,13.282100475280743,unaltered,none,96
pw,13.121855231810867,base,chemostatic,96
beale,13.164955770908929,base,chemostatic,96
rating,13.22509771194032,base,chemostatic,96
composite,13.20960617779286,base,chemostatic,96
truth,13.300140670060786,base,chemostatic,96
pw,13.00262135490994,storm,chemostatic,96
beale,13.138897800799962,storm,chemostatic,96
rating,13.367864529563168,storm,chemostatic,96
composite,13.175088684442255,storm,chemostatic,96
truth,13.247921741680829,storm,chemostatic,96
pw,13.101903002912657,unaltered,chemostatic,96
beale,13.159328690535503,unaltered,chemostatic,96
rating,13.2374001926982,unaltered,chemostatic,96
composite,13.201365761673246,unaltered,chemostatic,96
truth,13.291848945532193,unaltered,chemostatic,96
pw,12.386705858081347,base,broken_dilution,95
beale,11.71766972788467,base,broken_dilution,95
rating,10.133851629324617,base,broken_dilution,95
composite,10.164702327962516,base,broken_dilution,95
truth,10.658339592856539,base,broken_dilution,95
pw,31.71787630853414,storm,broken_dilution,95
beale,21.140113099321578,storm,broken_dilution,95
