method,estimate,flow,cq,runid
pw,13.936261136473336,storm,none,99
beale,13.577835003493284,storm,none,99
rating,13.106835111597476,storm,none,99
composite,13.109641906833726,storm,none,99
truth,13.250568764374867,storm,none,99
pw,13.822934132764994,unaltered,none,99
beale,13.812850188352579,unaltered,none,99
rating,13.257288187630644,unaltered,none,99
composite,13.178613813505608,unaltered,none,99
truth,13.281074654443536,unaltered,none,99
pw,13.110434703994457,base,chemostatic,99
beale,13.125053300145106,base,chemostatic,99
rating,13.101042769790903,base,chemostatic,99
composite,13.115056582527664,base,chemostatic,99
truth,13.309527032049802,base,chemostatic,99
pw,13.020244377050956,storm,chemostatic,99
beale,13.072712890423789,storm,chemostatic,99
rating,12.874332581324046,storm,chemostatic,99
composite,12.827876865638062,storm,chemostatic,99
truth,13.264215292209501,storm,chemostatic,99
pw,13.090951688149733,unaltered,chemostatic,99
beale,13.11533013437618,unaltered,chemostatic,99
rating,13.070935485982249,unaltered,chemostatic,99
composite,13.078638603183606,unaltered,chemostatic,99
truth,13.302207944629004,unaltered,chemostatic,99
pw,25.263545525012205,base,broken_dilution,98
beale,25.139467391204153,base,broken_dilution,98
rating,24.726366452454144,base,broken_dilution,98
composite,24.81606102563954,base,broken_dilution,98
truth,23.666194484550118,base,broken_dilution,98
pw,25.14692571261157,storm,broken_dilution,98
beale,24.758385426991907,storm,broken_dilution,98
rating,23.50411187157087,storm,broken_dilution,98
composite,23.63851638787605,storm,broken_dilution,98
truth,19.24689965991995,storm,broken_dilution,98
pw,25.21781007067743,unaltered,broken_dilution,98
beale,25.072713652562705,unaltered,broken_dilution,98
rating,24.519161789637295,unaltered,broken_dilution,98
composite,24.62234784155099,unaltered,broken_dilution,98
truth,23.125095161757837,unaltered,broken_dilution,98
pw,121.2160647187123,base,enrich,98
beale,122.48066638701512,base,enrich,98
rating,138.45389387120235,base,enrich,98
composite,142.12062902151587,base,enrich,98
truth,139.92474222416413,base,enrich,98
pw,125.33776677524871,storm,enrich,98
beale,128.67347565853453,storm,enrich,98
rating,167.82354805850798,storm,enrich,98
composite,175.77296153159602,storm,enrich,98
truth,180.21228450786748,storm,enrich,98
pw,122.095119917927,unaltered,enrich,98
beale,123.51934868666409,unaltered,enrich,98
rating,143.8076494879095,unaltered,enrich,98
composite,148.17389701802367,unaltered,enrich,98
truth,145.5392928645647,unaltered,enrich,98
