method,estimate,flow,cq,runid
beale,24.832705355189418,unaltered,broken_dilution,98
rating,24.675982278515026,unaltered,broken_dilution,98
composite,24.822038851006155,unaltered,broken_dilution,98
truth,23.094209639984133,unaltered,broken_dilution,98
pw,121.04865557448932,base,enrich,98
beale,124.2265578348798,base,enrich,98
rating,135.35257364279917,base,enrich,98
composite,136.49991420625472,base,enrich,98
truth,135.26840603416758,base,enrich,98
pw,127.39365545128149,storm,enrich,98
beale,145.7907560946925,storm,enrich,98
rating,179.1546492845491,storm,enrich,98
composite,181.92683220543685,storm,enrich,98
truth,180.6674058833072,storm,enrich,98
pw,123.37897286562311,unaltered,enrich,98
beale,129.16035267941498,unaltered,enrich,98
rating,146.79274043413045,unaltered,enrich,98
composite,148.22795713326013,unaltered,enrich,98
truth,145.6750455126229,unaltered,enrich,98
pw,13.329874232845029,base,none,98
beale,13.540395407813081,base,none,98
rating,13.436815023495027,base,none,98
composite,13.750950443897368,base,none,98
truth,13.320012061611179,base,none,98
pw,13.167452097216447,storm,none,98
beale,14.0468403162242,storm,none,98
rating,14.487276596456105,storm,none,98
composite,14.497580559702142,storm,none,98
truth,13.133642119398491,storm,none,98
pw,13.30974284517186,unaltered,none,98
beale,13.656896833717292,unaltered,none,98
rating,13.699828241221482,unaltered,none,98
composite,13.938281658824655,unaltered,none,98
truth,13.25868298964819,unaltered,none,98
pw,13.01700122409518,base,chemostatic,98
beale,13.002295367899059,base,chemostatic,98
rating,12.934644052596106,base,chemostatic,98
composite,12.959419356485654,base,chemostatic,98
truth,13.320012061611179,base,chemostatic,98
pw,12.877389411672095,storm,chemostatic,98
beale,12.68123883589038,storm,chemostatic,98
rating,12.490535302289986,storm,chemostatic,98
composite,12.463973852670446,storm,chemostatic,98
truth,13.293843972815058,storm,chemostatic,98
pw,12.969296485615404,unaltered,chemostatic,98
beale,12.927185386397381,unaltered,chemostatic,98
rating,12.814609396032328,unaltered,chemostatic,98
composite,12.829383318030327,unaltered,chemostatic,98
truth,13.310415454244554,unaltered,chemostatic,98
pw,25.551591059004412,base,broken_dilution,97
beale,25.514519702701563,base,broken_dilution,97
rating,25.485685358162208,base,broken_dilution,97
composite,25.475967289551765,base,broken_dilution,97
truth,24.080906773042752,base,broken_dilution,97
pw,25.321580092880776,storm,broken_dilution,97
beale,25.01759750604799,storm,broken_dilution,97
rating,25.003668595177135,storm,broken_dilution,97
composite,24.80611302187575,storm,broken_dilution,97
truth,19.225937929901562,storm,broken_dilution,97
pw,25.48287902924587,unaltered,broken_dilution,97
beale,25.404045141254215,unaltered,broken_dilution,97
rating,25.35263363147843,unaltered,broken_dilution,97
composite,25.307807288633335,unaltered,broken_dilution,97
truth,23.10758020085384,unaltered,broken_dilution,97
pw,120.49326687725689,base,enrich,97
beale,124.04306854228415,base,enrich,97
rating,135.13411640987263,base,enrich,97
composite,135.96315783688672,base,enrich,97
truth,135.15506845284892,base,enrich,97
pw,126.24684857766674,storm,enrich,97
beale,145.20012480746044,storm,enrich,97
rating,178.354310683706,storm,enrich,97
composite,180.0546558007534,storm,enrich,97
truth,180.2056271832352,storm,enrich,97
pw,122.69771815429789,unaltered,enrich,97
beale,128.96817103996503,unaltered,enrich,97
rating,146.65498729212604,unaltered,enrich,97
composite,147.5974978629577,unaltered,enrich,97
