method,estimate,flow,cq,runid
rating,25.785058841117266,base,broken_dilution,99
composite,25.89680272633102,base,broken_dilution,99
truth,24.075199445254068,base,broken_dilution,99
pw,26.024286525836153,storm,broken_dilution,99
beale,25.72400971309982,storm,broken_dilution,99
rating,25.72568162377352,storm,broken_dilution,99
composite,25.98906713559552,storm,broken_dilution,99
truth,19.216475954178538,storm,broken_dilution,99
pw,25.821860226750246,unaltered,broken_dilution,99
beale,25.729622012919968,unaltered,broken_dilution,99
rating,25.771625119021873,unaltered,broken_dilution,99
composite,25.919144756194214,unaltered,broken_dilution,99
truth,23.10182847823868,unaltered,broken_dilution,99
pw,119.4573030277219,base,enrich,99
beale,120.53767024567065,base,enrich,99
rating,134.7027348471462,base,enrich,99
composite,136.95538020311133,base,enrich,99
truth,135.253066807492,base,enrich,99
pw,123.87721416518468,storm,enrich,99
beale,127.57760167185505,storm,enrich,99
rating,173.06235950025297,storm,enrich,99
composite,178.0339100300026,storm,enrich,99
truth,180.3989503010564,storm,enrich,99
pw,121.17858525020254,unaltered,enrich,99
beale,122.5788158343758,unaltered,enrich,99
rating,145.72510126597507,unaltered,enrich,99
composite,148.70391240247037,unaltered,enrich,99
truth,145.62154488761487,unaltered,enrich,99
pw,13.089235692486781,base,none,99
beale,13.080965542685021,base,none,99
rating,12.996739499226823,base,none,99
composite,13.107090484273732,base,none,99
truth,13.319494869862938,base,none,99
pw,13.049997013798956,storm,none,99
beale,12.938064399958046,storm,none,99
rating,13.012379294156057,storm,none,99
composite,13.083397758636956,storm,none,99
truth,13.286338896186129,storm,none,99
pw,13.065346228683008,unaltered,none,99
beale,13.057127492495317,unaltered,none,99
rating,13.02795702081682,unaltered,none,99
composite,13.106499875726719,unaltered,none,99
truth,13.29729923669223,unaltered,none,99
pw,13.258055959988994,base,chemostatic,99
beale,13.267328555746271,base,chemostatic,99
rating,13.411065973085933,base,chemostatic,99
composite,13.473314550049354,base,chemostatic,99
truth,13.319494869862938,base,chemostatic,99
pw,13.205004980279172,storm,chemostatic,99
beale,13.23475858199848,storm,chemostatic,99
rating,13.62766029624669,storm,chemostatic,99
composite,13.687579893537794,storm,chemostatic,99
truth,13.289323446591846,storm,chemostatic,99
pw,13.246819909153897,unaltered,chemostatic,99
beale,13.262872632837606,unaltered,chemostatic,99
rating,13.475919534176906,unaltered,chemostatic,99
composite,13.536306100069748,unaltered,chemostatic,99
truth,13.309667464604683,unaltered,chemostatic,99
pw,25.623033193719117,base,broken_dilution,98
beale,25.54425986083924,base,broken_dilution,98
rating,25.48604375646908,base,broken_dilution,98
composite,25.591037122665288,base,broken_dilution,98
truth,24.06926771635398,base,broken_dilution,98
pw,25.526682473143605,storm,broken_dilution,98
beale,25.347501598435784,storm,broken_dilution,98
rating,25.039584005748015,storm,broken_dilution,98
composite,25.122755292828348,storm,broken_dilution,98
truth,19.211493259209668,storm,broken_dilution,98
pw,25.585121561075987,unaltered,broken_dilution,98
beale,25.485324229215458,unaltered,broken_dilution,98
rating,25.352288618439314,unaltered,broken_dilution,98
composite,25.462100603970104,unaltered,broken_dilution,98
truth,23.094209639984133,unaltered,broken_dilution,98
pw,118.18223721419366,base,enrich,98
beale,119.6756367414381,base,enrich,98
rating,131.90892183996246,base,enrich,98
composite,133.5662681545696,base,enrich,98
truth,135.26840603416758,base,enrich,98
pw,120.35641307689366,storm,enrich,98
beale,125.76985552665262,storm,enrich,98
rating,166.47318326351908,storm,enrich,98
composite,169.86950002130666,storm,enrich,98
truth,180.6674058833072,storm,enrich,98
pw,119.27215652159693,unaltered,enrich,98
beale,121.44867030848145,unaltered,enrich,98
rating,141.71421996062153,unaltered,enrich,98
composite,143.73779315351126,unaltered,enrich,98
truth,145.6750455126229,unaltered,enrich,98
pw,13.905816946739954,base,none,98
beale,14.076003182874764,base,none,98
rating,13.602449833204808,base,none,98
composite,14.129317898924254,base,none,98
truth,13.320012061611179,base,none,98
pw,13.308569829897502,storm,none,98
beale,14.18283040975942,storm,none,98
rating,13.797000796536038,storm,none,98
composite,13.82680438011638,storm,none,98
truth,13.133642119398491,storm,none,98
pw,13.770510417654027,unaltered,none,98
beale,14.095524828957178,unaltered,none,98
rating,13.635181250521383,unaltered,none,98
composite,14.066394303956416,unaltered,none,98
truth,13.25868298964819,unaltered,none,98
pw,13.086257085991544,base,chemostatic,98
beale,13.08388006659404,base,chemostatic,98
rating,12.967401712990249,base,chemostatic,98
composite,12.983021590021439,base,chemostatic,98
truth,13.320012061611179,base,chemostatic,98
pw,12.902274935472132,storm,chemostatic,98
beale,12.929823591515294,storm,chemostatic,98
rating,12.426256650100813,storm,chemostatic,98
composite,12.338794836072422,storm,chemostatic,98
truth,13.293843972815058,storm,chemostatic,98
pw,13.030415550838507,unaltered,chemostatic,98
beale,13.038756824403661,unaltered,chemostatic,98
rating,12.819735597512112,unaltered,chemostatic,98
composite,12.815467279306553,unaltered,chemostatic,98
truth,13.310415454244554,unaltered,chemostatic,98
pw,26.02100912899594,base,broken_dilution,97
beale,25.915955189795817,base,broken_dilution,97
rating,25.959010103133757,base,broken_dilution,97
composite,26.134991642279665,base,broken_dilution,97
truth,24.080906773042752,base,broken_dilution,97
pw,26.19089691638527,storm,broken_dilution,97
beale,25.89995876678186,storm,broken_dilution,97
rating,25.847514962651317,storm,broken_dilution,97
composite,26.07927350579629,storm,broken_dilution,97
truth,19.225937929901562,storm,broken_dilution,97
pw,26.065374563922767,unaltered,broken_dilution,97
beale,25.90362281634013,unaltered,broken_dilution,97
rating,25.940143994458364,unaltered,broken_dilution,97
composite,26.15845091148575,unaltered,broken_dilution,97
truth,23.10758020085384,unaltered,broken_dilution,97
pw,119.55774792917668,base,enrich,97
beale,121.04830204430502,base,enrich,97
rating,134.3521313181816,base,enrich,97
composite,137.3641584570076,base,enrich,97
truth,135.15506845284892,base,enrich,97
pw,123.30109577359269,storm,enrich,97
beale,128.7801581990286,storm,enrich,97
rating,170.26291043568227,storm,enrich,97
composite,176.38746086665296,storm,enrich,97
truth,180.2056271832352,storm,enrich,97
pw,121.10965713903892,unaltered,enrich,97
beale,123.25758308594276,unaltered,enrich,97
rating,145.2593317854719,unaltered,enrich,97
composite,149.07252283248934,unaltered,enrich,97
truth,145.5010641058107,unaltered,enrich,97
pw,12.742820121012018,base,none,97
beale,12.985777562555455,base,none,97
rating,13.219562961784703,base,none,97
composite,13.3526251089732,base,none,97
truth,13.314519914080895,base,none,97
