variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
TPN,Total Particulate Nitrogen,precip_conc,mg/L,154398,14,1978-06-22T00:00:00Z,2019-05-22T00:00:00Z
TPN,Total Particulate Nitrogen,stream_conc,mg/L,267660,75,1978-06-15T00:00:00Z,2019-05-22T00:00:00Z
TPP,Total Particulate Phosphorus,precip_conc,mg/L,219592,18,1974-10-30T00:00:00Z,2020-12-30T00:00:00Z
TPP,Total Particulate Phosphorus,stream_conc,mg/L,410804,90,1974-09-30T00:00:00Z,2019-12-06T00:00:00Z
TSS,Total Suspended Solids,stream_conc,mg/L,321295,84,1983-06-03T00:00:00Z,2021-12-17T00:00:00Z
turbid,Turbidity,NA,FNU,74177,14,2001-10-02T00:00:00Z,2022-04-16T00:00:00Z
U,Uranium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
U,Uranium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
U,Uranium,stream_conc,mg/L,94114,37,2005-09-26T00:00:00Z,2020-12-02T00:00:00Z
U,Uranium,stream_flux,kg/ha/d,47720,21,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,precip_conc,mg/L,103148,14,1978-06-22T00:00:00Z,2005-05-10T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,precip_flux,kg/ha/d,98140,10,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,stream_conc,mg/L,69856,16,1978-06-15T00:00:00Z,2011-06-16T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,stream_flux,kg/ha/d,65636,12,1978-06-15T00:00:00Z,2005-05-10T00:00:00Z
UTN,Unfiltered Total Nitrogen,precip_conc,mg/L,141620,10,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z
UTN,Unfiltered Total Nitrogen,precip_flux,kg/ha/d,141620,10,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z
UTN,Unfiltered Total Nitrogen,stream_conc,mg/L,107963,9,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z
UTN,Unfiltered Total Nitrogen,stream_flux,kg/ha/d,107963,9,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z
UTP,Unfiltered Total Phosphorus,precip_conc,mg/L,165182,14,1974-10-30T00:00:00Z,2017-04-05T00:00:00Z
UTP,Unfiltered Total Phosphorus,precip_flux,kg/ha/d,154850,10,1974-11-13T00:00:00Z,2017-04-05T00:00:00Z
UTP,Unfiltered Total Phosphorus,stream_conc,mg/L,134532,17,1974-09-30T00:00:00Z,2019-05-22T00:00:00Z
UTP,Unfiltered Total Phosphorus,stream_flux,kg/ha/d,123818,13,1974-09-30T00:00:00Z,2019-05-22T00:00:00Z
V,Vanadium,precip_conc,mg/L,38298,26,2011-03-28T00:00:00Z,2019-04-19T00:00:00Z
V,Vanadium,precip_flux,kg/ha/d,38298,26,2011-03-28T00:00:00Z,2019-04-19T00:00:00Z
V,Vanadium,stream_conc,mg/L,82449,35,2005-09-26T00:00:00Z,2020-12-02T00:00:00Z
V,Vanadium,stream_flux,kg/ha/d,36619,19,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
VSS,Volatile Suspended Sediment,stream_conc,mg/L,13644,3,2009-05-06T00:00:00Z,2021-12-17T00:00:00Z
W,Tungsten,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
W,Tungsten,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
W,Tungsten,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
W,Tungsten,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Y,Yttrium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Y,Yttrium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Y,Yttrium,stream_conc,mg/L,119114,25,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Y,Yttrium,stream_flux,kg/ha/d,57915,22,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Yb,Ytterbium,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Yb,Ytterbium,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Yb,Ytterbium,stream_conc,mg/L,114749,25,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Yb,Ytterbium,stream_flux,kg/ha/d,50229,21,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Zn,Zinc,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Zn,Zinc,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Zn,Zinc,stream_conc,mg/L,198690,56,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Zn,Zinc,stream_flux,kg/ha/d,97259,30,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Zr,Zirconium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Zr,Zirconium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Zr,Zirconium,stream_conc,mg/L,101604,36,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Zr,Zirconium,stream_flux,kg/ha/d,33551,15,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
